Rxn,Flux
EX_pnto__R_e,-1.8930762034e-05
EX_btd_e,12.90769250690189
EX_4abz_e,-6.258003261e-06
EX_nh4_e,-0.567832395006292
EX_co2_e,23.72262903212959
EX_glc__D_e,-13.200000000000001
EX_gcald_e,6.258003261e-06
EX_h_e,11.920176515526236
EX_fe2_e,-6.7839223705e-05
EX_inost_e,-0.001277906219254
EX_nac_e,-0.000604627669204
EX_o2_e,-4.150292058916605
EX_pi_e,-0.035566360330847
EX_k_e,-0.060514725078935
EX_pydxn_e,-5.0330767399e-05
EX_ribflv_e,-0.000140598811705
EX_so4_e,-0.029062146908875
EX_thm_e,-1.0256939972e-05
EX_h2o_e,12.475446086704437
EX_cu2_e,-1.1830294225e-05
EX_mn2_e,-9.924210442e-06
EX_zn2_e,-0.000194820661549
EX_mg2_e,-0.006449072909186
EX_ca2_e,-0.000128844253705
EX_cobalt2_e,-2.69723475e-07
BTDDH_c,-1.133152962191017
13GS_c,0.101630484393213
16GS_c,0.026744933730518
PRMICI_c,0.017062719802505
HPPK2_m,6.258003261e-06
AATA_c,0.016832379216115
IPPMIb_c,-0.027122128871924
HCITR_m,0.016832379216115
OMCDC_c,0.027122128871924
BPNT_c,0.025939196345183
DHQTi_c,0.030466559891236
DHQS_c,0.030466559891236
3DSPHR_r,0.000456917847657
DDPA_c,0.030466559891236
IPPMIa_c,-0.027122128871924
IPMD_c,0.027122128871924
PSCIT_c,0.030466559891236
PRFGS_c,0.009149283199821
MTHFR3_c,0.03029534859655
ALAS_m,7.315419261e-06
PGL_c,1.410033670019391
ACALDCD_c,1.133152962191017
KARA1i_m,0.042305810948694
ACACT40ir_c,0.023802422817517
ACS_c,0.390063021747027
ACGK_m,0.02537412501682
ACOTAi_m,0.02537412501682
STATg181_rm,0.000217072504061
STATg161_rm,0.000591563832358
ADNK1_c,0.01315865790901
AHCi_c,0.01315865790901
ADK1_c,0.907013164258193
ADK1_m,6.258003261e-06
ADSL2i_c,0.009149283199821
ADSL1r_c,0.022005189941151
ADSS_c,0.022005189941151
ADSK_c,0.025939196345183
ALATRS_c,0.032823203046509
ALDD2y_c,0.319067387740985
AKP1_c,6.258003261e-06
ANPRT_c,0.005079053733571
ARGSL_c,0.01534203526646
ARGSS_c,0.01534203526646
ARGTRS_c,0.01534203526646
ASNS1_c,0.019460875418054
ASNTRS_c,0.019460875418054
ASPCT_c,0.008948305963303
ASPK_c,2.650518393477892
