Rxn,Flux
EX_pnto__R_e,-1.8931572546e-05
EX_4abz_e,-6.258003261e-06
EX_nh4_e,-0.562468404663372
EX_co2_e,12.871890536919068
EX_glc__D_e,-13.200000000000001
EX_gcald_e,6.258003261e-06
EX_h_e,25.14147081506667
EX_fe2_e,-7.0083245943e-05
EX_inost_e,-0.001277906219254
EX_nac_e,-0.000604627498369
EX_o2_e,-18.911803371449185
EX_pi_e,-0.035442939987003
EX_k_e,-0.060515219243167
EX_pydxn_e,-3.001832998e-06
EX_ribflv_e,-0.00010009172501
EX_so4_e,-0.028310858652222
EX_thm_e,-2.651806706e-06
EX_h2o_e,27.019513550508577
EX_cu2_e,-1.3344798631e-05
EX_mn2_e,-9.915703316e-06
EX_zn2_e,-0.000185351315004
EX_mg2_e,-0.006440465038752
EX_ca2_e,-0.000128844253705
EX_cobalt2_e,-3.78951412e-07
13GS_c,0.101630484393213
16GS_c,0.026744933730518
PRMICI_c,0.016551290601298
HPPK2_m,6.258003261e-06
AATA_c,0.017066166874893
IPPMIb_c,-0.025332226311344
HCITR_m,0.017066166874893
OMCDC_c,0.025332226311344
BPNT_c,0.02518790808853
DHQTi_c,0.030272530715478
DHQS_c,0.030272530715478
3DSPHR_r,0.000456917847657
DDPA_c,0.030272530715478
IPPMIa_c,-0.025332226311344
IPMD_c,0.025332226311344
PSCIT_c,0.030272530715478
PRFGS_c,0.009127891115199
MTHFR3_c,0.029994852380389
ALAS_m,2.5267597167e-05
KARA1i_m,0.042982666940888
ACACT40ir_m,0.023802422817517765
ACS_c,12.698078572717177
ACGK_m,0.01440483653344
ACOTAi_m,0.01440483653344
STATg181_rm,0.000217072504061
STATg161_rm,0.000591563832358
ADNK1_c,0.013157332752069
AHCi_c,0.013157332752069
ADK1_c,13.211110423381195
ADK1_m,6.258003261e-06
ADSL2i_c,0.009127891115199
ADSL1r_c,0.02147403020047
ADSS_c,0.02147403020047
ADSK_c,0.02518790808853
ALATRS_c,0.03531466764794
ALDD2y_c,1.08400458159323
AKP1_c,6.258003261e-06
ANPRT_c,0.005293555729638
ARGSL_c,0.01440483653344
ARGSS_c,0.01440483653344
ARGTRS_c,0.01440483653344
ASNS1_c,0.019097271481135
ASNTRS_c,0.019097271481135
ASPCT_c,0.008949323352034
ASPK_c,0.063873676357682
ASAD_c,0.063873676357682
ASPTRS_c,0.018565853492212
ATPPRT_c,0.016551290601298
C14STR_c,0.003967020823421
C3STDH2_c,0.003967020823421
C3STDH1_c,0.003967020823421
C3STKR1_c,0.003967020823421
C3STKR2_c,0.003967020823421
C4STMO1_c,0.003967020823421
C4STMO2_c,0.003967020823421
C4STMO3_c,0.003967020823421
C4STMO4_c,0.003967020823421
C24STR_r,0.003967020823421
CERH124B_r,4.5691784766e-05
CERH126B_r,4.5691784766e-05
CERH2A24_r,9.1383569531e-05
CERH2A26_r,9.1383569531e-05
CERH324_r,4.5691784766e-05
CERH326_r,4.5691784766e-05
CHTNS_c,0.002402738037236
CHORM_c,0.02497897498584
CHORS_c,0.030272530715478
CS_m,0.072552894925877
CPPPGO_c,3.005893039e-06
CTPS2_c,0.004181866742164
CBL_c,0.01683751962832
CYSTGL_c,0.027060656441763
METB1_c,0.043898176070084
CYSS_c,0.02518790808853
CYSTRS_c,0.008331456887664
DCYTD_c,0.000378105183304
DHFS_1_c,6.258003261e-06
DHNPA2i_m,6.258003261e-06
DHORTS_c,-0.008949323352034
FOLD3_m,6.258003261e-06
DHAD1_m,0.042982666940888
DHAD2_m,0.027060656441763
DMATT_c,0.007934140939172
DOLPMT_c,0.065492779202469
DTMPK_c,0.000378105183304
ENO_c,25.684639170810065
FCLT_m,3.005893039e-06
AFAT_c,1.516627539e-06
FMNRx_c,3.599726e-08
FTHFL_c,0.015649902621696
FTHFL_m,-0.011676623795014
FBA_c,12.912710763884245
DHORDfum_c,0.008949323352034
GRTT_c,0.007934140939172
PGI_c,13.017714916893468
GLU5K_c,0.009748638455061
GLUDy_c,0.512535774274379
G5SDy_c,0.009748638455061
GLNS_c,0.105898169235978
GF6PTA_c,0.002402738037236
GLNTRS_c,0.01195172551424
GLUTRS_c,0.019350001947815
GAPD_c,25.790795175197495
G3PD1r_c,0.006229325058133
GARFT_c,0.009127891115199
GHMT2r_c,0.049530127773693
GLYTRS_c,0.028700345266313
GMPS2_c,0.004205151516027
GTPCI_c,6.258003261e-06
GK2_c,0.004205151516027
HEMEOS_m,9.9292331e-08
HEX1_c,13.2
HISTD_c,0.016551290601298
HISTP_c,0.016551290601298
HSTPT_c,0.016551290601298
HACNH_m,0.017066166874893
HICITD_m,0.017066166874893
HSDx_c,0.063873676357682
HSK_c,0.019975500287599
