Rxn,Flux
EX_pnto__R_e,-9.398780912970001e-06
EX_4abz_e,-3.116485624012e-06
EX_ac_e,0.0029
EX_tre_e,-0.28248
EX_nh4_e,-0.2523739593063261
EX_co2_e,1.3838000000000001
EX_etoh_e,0.06208705775315756
EX_gcald_e,3.116485624012e-06
EX_h_e,0.07884500118321695
EX_fe2_e,-3.321713925323e-05
EX_nac_e,-0.00030026124037810795
EX_o2_e,-1.2197388316428597
EX_pi_e,-0.01656597658617271
EX_k_e,-0.030119259253552084
EX_pyr_e,0.0001
EX_ribflv_e,-4.9471957111291e-05
EX_succ_e,0.0028
EX_so4_e,-0.01020704766468538
EX_thm_e,-5.5046128465999997e-08
EX_h2o_e,1.7785584794543954
EX_cu2_e,-5.6737501931409995e-06
EX_mn2_e,-4.684047313634e-06
EX_zn2_e,-7.918302606907999e-05
EX_mg2_e,-0.003173707511880505
EX_ca2_e,-6.416443834522701e-05
EX_cobalt2_e,-9.5664958e-11
EX_ni2_e,-9.684974970000001e-10
13GS_c,0.054037336689631614
16GS_c,0.014220388669469165
PRMICI_c,0.005684395583401455
AATA_c,0.008025406877336239
IPPMIb_c,-0.01457664957598863
HCITR_m,0.008025406877336239
OMCDC_c,0.01457664957598863
BPNT_c,0.008651818283966477
DHQTi_c,0.007449709235230294
DHQS_c,0.007449709235230294
3DSPHR_r,0.000227545088133138
DDPA_c,0.007449709235230294
IPPMIa_c,-0.01457664957598863
IPMD_c,0.01457664957598863
PSCIT_c,0.007449709235230294
PRFGS_c,0.003960851964108616
MTHFR3_c,0.013117368982325454
ALAS_m,4.25983120914e-07
PGL_c,0.3387938655464781
KARA1i_m,0.03237124539946944
ACACT40ir_c,0.011853606563123625
ACGK_m,0.0069357142515700755
ACOTAi_m,0.0069357142515700755
STATg181_rm,0.000108102107022602
STATg161_rm,0.000294598788514488
ADNK1_c,0.006552201436883964
AHCi_c,0.006552201436883964
ADK1_c,0.3428975637424071
ADSL2i_c,0.003960851964108616
ADSL1r_c,0.007845864786425846
ADSS_c,0.007845864786425846
ADSK_c,0.008651818283966477
ALATRS_c,0.01594223896743674
TREH_c,0.28117412228650485
ANPRT_c,0.0025661076814624912
ARGSL_c,0.0069357142515700755
ARGSS_c,0.0069357142515700755
ARGTRS_c,0.0069357142515700755
ASNS1_c,0.007352304376599448
ASNTRS_c,0.007352304376599448
ASPCT_c,0.003962256296361625
ASPK_c,0.025039489359779128
ASAD_c,0.025039489359779128
ASPTRS_c,0.007823064648737632
ATPPRT_c,0.005684395583401455
C14STR_c,0.001975576370063622
C22STDSy_c,0.001975576370063622
C3STDH2_c,0.001975576370063622
C3STDH1_c,0.001975576370063622
C3STKR1_c,0.001975576370063622
C3STKR2_c,0.001975576370063622
