Rxn,Flux
EX_pnto__R_e,-8.1456900408e-05
EX_4abz_e,-2.6508901814e-05
EX_nh4_e,-4.378897569737125
EX_co2_e,15.177619986270884
EX_glc__D_e,-6.272984186302624
EX_gcald_e,2.6508901814e-05
EX_h_e,2.06251713844415
EX_fe2_e,-0.000814928160783
EX_inost_e,-0.005413210744762
EX_o2_e,-14.59750996062683
EX_pi_e,-0.209360897263856
EX_k_e,-0.256237946499862
EX_pydxn_e,-0.000139529258151
EX_ribflv_e,-0.000465387466909
EX_so4_e,-0.152177654393473
EX_thm_e,-3.604091463e-06
EX_thymd_e,0.571612041694202
EX_h2o_e,27.337819914088072
EX_cu2_e,-5.5437160636e-05
EX_mn2_e,-6.8898443851e-05
EX_zn2_e,-0.000817854381357
EX_mg2_e,-0.027211315259364
EX_ca2_e,-0.000549812900215
EX_cobalt2_e,-4.077959843e-06
13GS_c,0.278665185674255
16GS_c,0.073333133934746
PRMICI_c,0.091565880170674
HPPK2_m,2.6508901814e-05
AATA_c,0.09694710832469
IPPMIb_c,-0.141678520373303
HCITR_m,0.09694710832469
OMCDC_c,0.141678520373303
BPNT_c,0.138948835805671
DHQTi_c,0.17525656313589
DHQS_c,0.17525656313589
3DSPHR_r,0.001935504002675
DDPA_c,0.17525656313589
HKYNH_c,0.002584467602637
3HAO_c,0.002584467602637
IPPMIa_c,-0.141678520373303
IPMD_c,0.141678520373303
PSCIT_c,0.17525656313589
PRFGS_c,0.071947414013596
MTHFR3_c,0.149390434719828
ALAS_m,0.000114449297176
PGL_c,3.750726408149973
KARA1i_m,0.222045483234993
ACACT40ir_m,0.100827063055003
ACS_c,0.77754215856462
ACGK_m,0.090512174060606
ACOTAi_m,0.090512174060606
STATg181_rm,0.000919519127204
STATg161_rm,0.00250586439387
ADNK1_c,0.055760940197861
AHCi_c,0.055760940197861
ADK1_c,4.19814551996018
ADK1_m,2.6508901814e-05
ADSL2i_c,0.071947414013596
ADSL1r_c,0.12884229485312
ADSS_c,0.12884229485312
ADSK_c,0.138948835805671
ALATRS_c,0.176686184762825
AKP1_c,2.6508901814e-05
ANPRT_c,0.030157569900499
ARGSL_c,0.090512174060606
ARGSS_c,0.090512174060606
ARGTRS_c,0.090512174060606
ASNS1_c,0.105053722243289
ASNTRS_c,0.105053722243289
ASPCT_c,0.635286828874216
ASPK_c,0.347462875446057
ASAD_c,0.347462875446057
ASPTRS_c,0.097199534183944
ATPPRT_c,0.091565880170674
C14STR_c,0.016804300208011
C3STDH2_c,0.016804300208011
C3STDH1_c,0.016804300208011
C3STKR1_c,0.016804300208011
C3STKR2_c,0.016804300208011
C4STMO1_c,0.016804300208011
C4STMO2_c,0.016804300208011
C4STMO3_c,0.016804300208011
C4STMO4_c,0.016804300208011
C24STR_r,0.016804300208011
CERH124B_r,0.000193550400267
CERH126B_r,0.000193550400267
CERH2A24_r,0.000387100800535
CERH2A26_r,0.000387100800535
CERH324_r,0.000193550400267
CERH326_r,0.000193550400267
CHTNS_c,0.006588175243584
CHORM_c,0.145098993235391
CHORS_c,0.17525656313589
CS_m,3.743162109975492
CPPPGO_c,4.20602312e-07
CTPS2_c,0.600245369321811
