gene_id	uniprot_id	MW (g/mmol)
YAL001C	TFC3	134.46161
YAL002W	VPS8	146.30248
YAL003W	EFB1	23.02332
YAL005C	SSA1	73.21578
YAL007C	ERP2	23.92857
YAL008W	FUN14	23.44199
YAL009W	SPO7	29.23963
YAL010C	MDM10	55.49202
YAL011W	SWC3	72.83659
YAL012W	CYS3	44.97039
YAL013W	DEP1	46.34486
YAL014C	SYN8	30.3518
YAL015C	NTG1	47.66757
YAL016W	TPD3	72.48033
YAL017W	PSK1	154.41145
YAL018C	LDS1	36.78691
YAL019W	FUN30	129.75341
YAL020C	ATS1	41.56018
YAL021C	CCR4	98.108
YAL022C	FUN26	58.66931
YAL023C	PMT2	88.00783
YAL024C	LTE1	162.64818
YAL025C	MAK16	36.0318
YAL026C	DRS2	153.11866
YAL027W	SAW1	29.7678
YAL028W	FRT2	60.45307
YAL029C	MYO4	167.87477
YAL030W	SNC1	13.24866
YAL031C	GIP4	86.33441
YAL032C	PRP45	43.8611
YAL033W	POP5	19.27778
YAL034C	FUN19	47.20841
YAL034W-A	MTW1	33.63269
YAL035W	FUN12	117.07582
YAL036C	RBG1	42.48706
YAL037C-A	YAL037C-A	3.39722
YAL037W	YAL037W	30.35897
YAL038W	CDC19	57.89575
YAL039C	CYC3	32.11936
YAL040C	CLN3	63.42595
YAL041W	CDC24	95.75944
YAL042W	ERV46	48.91043
YAL043C	PTA1	89.36919
YAL044C	GCV3	20.25178
YAL044W-A	YAL044W-A	12.79523
YAL046C	AIM1	13.88645
YAL047C	SPC72	70.0575
YAL048C	GEM1	76.36463
YAL049C	AIM2	28.05401
YAL051W	OAF1	117.83545
YAL053W	FLC2	89.19782
YAL054C	ACS1	82.49244
YAL055W	PEX22	20.92748
YAL056W	GPB2	101.17721
YAL058W	CNE1	58.33978
YAL059W	ECM1	23.95609
YAL060W	BDH1	45.58705
YAL061W	BDH2	47.93401
YAL062W	GDH3	52.88407
YAL063C	FLO9	145.91552
YAL063C-A	YAL063C-A	10.29341
YAL064C-A	TDA8	14.73393
YAL064W	YAL064W	11.1388
YAL064W-B	YAL064W-B	16.24747
YAL065C	YAL065C	13.78786
YAL067C	SEO1	68.19285
YAL067W-A	YAL067W-A	8.94629
YAL068C	PAU8	13.19278
YAR002C-A	ERP1	25.47386
YAR002W	NUP60	61.0584
YAR003W	SWD1	49.05045
YAR007C	RFA1	70.63974
YAR008W	SEN34	30.98769
YAR009C	YAR009C	134.96567
YAR010C	YAR010C	50.48408
YAR014C	BUD14	80.78895
YAR015W	ADE1	35.2941
YAR018C	KIN3	50.78815
YAR019C	CDC15	109.65332
YAR020C	PAU7	5.89193
YAR023C	YAR023C	20.83722
YAR027W	UIP3	26.55385
YAR028W	YAR028W	26.47465
YAR029W	YAR029W	8.49514
YAR031W	PRM9	34.0847
YAR033W	MST28	26.53021
YAR035C-A	YAR035C-A	2.84169
YAR035W	YAT1	78.39607
YAR042W	SWH1	137.77976
YAR050W	FLO1	170.72844
YAR064W	YAR064W	11.25646
YAR066W	YAR066W	22.31294
YAR068W	YAR068W	19.73555
YAR071W	PHO11	53.74514
YBL001C	ECM15	12.04466
YBL002W	HTB2	14.31252
YBL003C	HTA2	14.77287
YBL004W	UTP20	281.90899
YBL005W	PDR3	110.22099
YBL005W-A	YBL005W-A	50.60245
YBL005W-B	YBL005W-B	199.34707
YBL006C	LDB7	20.99438
YBL007C	SLA1	144.30943
YBL008W	HIR1	96.83611
YBL008W-A	YBL008W-A	9.04308
YBL009W	ALK2	77.66957
YBL010C	YBL010C	32.70951
YBL011W	SCT1	86.50239
YBL013W	FMT1	45.7801
YBL014C	RRN6	102.5042
YBL015W	ACH1	61.07385
YBL016W	FUS3	39.72274
YBL017C	PEP1	181.25431
YBL018C	POP8	15.33166
YBL019W	APN2	59.60521
YBL020W	RFT1	64.04567
YBL021C	HAP3	16.55652
YBL022C	PIM1	129.87753
YBL023C	MCM2	98.96995
YBL024W	NCL1	81.10517
YBL025W	RRN10	16.65736
YBL026W	LSM2	11.40872
YBL027W	RPL19B	21.57414
YBL028C	YBL028C	12.34202
YBL029C-A	YBL029C-A	11.68736
YBL029W	YBL029W	41.84632
YBL030C	PET9	36.44334
YBL031W	SHE1	38.13242
YBL032W	HEK2	42.22005
YBL033C	RIB1	39.54271
YBL034C	STU1	171.12188
YBL035C	POL12	80.94193
YBL036C	YBL036C	29.6457
YBL037W	APL3	115.17884
YBL038W	MRPL16	27.34299
YBL039C	URA7	68.02352
YBL039W-B	YBL039W-B	6.57812
YBL040C	ERD2	24.19661
YBL041W	PRE7	27.51747
YBL042C	FUI1	71.8709
YBL043W	ECM13	28.84929
YBL044W	YBL044W	14.08561
YBL045C	COR1	52.85136
YBL046W	PSY4	50.99309
YBL047C	EDE1	158.39989
YBL049W	MOH1	16.28038
YBL050W	SEC17	33.00185
YBL051C	PIN4	75.58186
YBL052C	SAS3	94.95593
YBL054W	TOD6	59.55425
YBL055C	YBL055C	48.08329
YBL056W	PTC3	53.1066
YBL057C	PTH2	22.96995
YBL058W	SHP1	49.08508
YBL059C-A	CMC2	12.48141
YBL059W	YBL059W	22.09747
